"ID","TagID","ObsDate","lastObsDate","SiteID","Node","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment","BranchNum","Group","NodeOrder","Direction","Migration","TrapDate"
1,"3D9.1C2DDCEAF1",4/15/2016 10:00:00,4/15/2016 18:01:38,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/15/2016 0:00:00
2,"3D9.1C2DDCEAF1",5/6/2016 20:18:19,5/6/2016 20:18:19,"LC1","LC1",1,1,1,1,,"12","Lolo",2.00,"Up","Upstream",4/15/2016 0:00:00
3,"3D9.1C2DDCEAF1",5/7/2016 15:16:45,5/7/2016 19:44:02,"LC2","LC2",1,1,1,1,,"12","Lolo",3.00,"Up","Upstream",4/15/2016 0:00:00
4,"3D9.1C2DDD05AF",4/19/2016 10:00:00,4/19/2016 10:36:36,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/19/2016 0:00:00
5,"3D9.1C2DDC85BC",4/20/2016 10:00:00,5/29/2016 6:10:52,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/20/2016 0:00:00
6,"3D9.1C2DE1227A",4/21/2016 10:00:00,4/21/2016 18:34:24,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/21/2016 0:00:00
7,"3D9.1C2DE1227A",5/22/2016 14:19:26,5/22/2016 14:19:26,"UGR","UGR",1,1,1,1,,"19","GrandeRonde",2.00,"Up","Upstream",4/21/2016 0:00:00
8,"3D9.1C2DE1227A",6/4/2016 22:49:20,6/4/2016 22:49:20,"CCW","CCWB0",1,1,1,1,,"19","GrandeRonde",3.00,"Up","Upstream",4/21/2016 0:00:00
9,"3D9.1C2DE1227A",6/4/2016 22:49:22,6/4/2016 23:10:34,"CCW","CCWA0",1,1,1,1,,"19","GrandeRonde",4.00,"Up","Upstream",4/21/2016 0:00:00
10,"3D9.1C2DE1227A",6/5/2016 13:00:00,6/5/2016 13:00:00,"CATHEW","CATHEW",1,1,1,1,,"19","GrandeRonde",5.00,"Up","Upstream",4/21/2016 0:00:00
11,"3D9.1C2DDD10CF",4/22/2016 10:00:00,4/22/2016 10:00:00,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/22/2016 0:00:00
12,"3D9.1C2DE114FB",4/22/2016 10:00:00,4/23/2016 16:47:49,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/22/2016 0:00:00
13,"3D9.1C2DDC3CE5",4/25/2016 10:00:00,4/25/2016 14:49:30,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/25/2016 0:00:00
14,"3D9.1C2DE28F06",4/25/2016 10:00:00,4/26/2016 10:57:24,"LGRLDR","GRA",1,1,1,1,,"NA","NA",1.00,"Up","Upstream",4/25/2016 0:00:00
