"ID","TagID","ObsDate","lastObsDate","SiteID","Node","AutoProcStatus","UserProcStatus","ModelObs","ValidPath","UserComment","TrapDate","BranchNum","Group","NodeOrder","Direction","Migration"
1,"3D9.1C2DE70668",7/4/2016 9:24:20,7/4/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/4/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
2,"3D9.1C2DDC3CD4",7/5/2016 9:12:25,7/5/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/5/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
3,"3D9.1C2DDC4851",7/5/2016 10:00:00,7/5/2016 10:14:07,"LGRLDR","GRA",1,1,1,1,,7/5/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
4,"3D9.1C2DE26493",7/5/2016 10:00:00,7/5/2016 10:47:55,"LGRLDR","GRA",1,1,1,1,,7/5/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
5,"3D9.1C2DDC5D1D",7/6/2016 9:35:13,7/6/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/6/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
6,"3D9.1C2DDCAE76",7/6/2016 10:00:00,7/6/2016 12:19:00,"LGRLDR","GRA",1,1,1,1,,7/6/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
7,"3D9.1C2DDCD4C2",7/6/2016 9:50:05,7/6/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/6/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
8,"3D9.1C2DDD4BE7",7/6/2016 8:47:20,7/6/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/6/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
9,"3D9.1C2DDD4BE7",3/17/2017 20:16:05,3/17/2017 20:16:05,"LTR","LTR",1,1,1,1,,7/6/2016 0:00:00,"1","Tucannon",2.00,"Up","Upstream"
10,"3D9.1C2DE15993",7/6/2016 9:08:06,7/6/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/6/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
11,"3D9.1C2DDC4F46",7/7/2016 8:53:05,7/8/2016 9:54:06,"GRA","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
12,"3D9.1C2DDC8594",7/7/2016 10:00:00,7/7/2016 14:35:44,"LGRLDR","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
13,"3D9.1C2DDC8D53",7/7/2016 9:33:55,7/7/2016 10:00:00,"GRA","GRA",1,1,1,1,,7/7/2016 0:00:00,"NA","NA",1.00,"Up","Upstream"
