Site type,SiteID,Purpose,Operational_Assessment,Original_Fasttrack,Data_Steward,O&M,Funding,ConfigID,Area,Model_Branch,branch num,PATH,SiteName,SiteTypeName,Interrogation Site Subbasin Code,SubBasin Name,RKM,RKMTotal,AntennaGroup,SiteDescription,Latitude,Longitude,Data Steward Name,Steward Email,Steward Phone,Steward Organization,Steelhead_TRT_POPID,Steelhead_POP_NAME,Steelhead_ESU_DPS,Steelhead_MPG,Chinook_TRT_POPID,Chinook_POP_NAME,Chinook_ESU_DPS,Chinook_MPG
Dam,GRA,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root,Root
INT,ACB,Adult/Juvenile,No,No,ELR,Unknown,Unknown,110,Asotin,Asotin,5,GRA ACMB0 ACMA0 ASOTIC ACB,Asotin Cr. at Cloverland Brdg.,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.005,761,Single Array,"An instream interrogation site in the mainstem of Asotin Creek above the George Creek confluence, underneath the Cloverland Bridge. Site started operations in 2009 with a single row of 5 antennas spanning the width of the creek. The first two years of data were originally reported as Passive Recaptures. The site was officially registered as an interrogation site in PTAGIS December 2010. The site was damaged during high flows in the spring of 2017 and was reconfigured in September 2017 with 3 antennas in a single row. In December 2017, the original passive recapture records were removed and the detection records were submitted as interrogation data.",46.32558413,-117.1086788,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
INT,ACM,Adult/Juvenile,No,No,ELR,Unknown,Unknown,110,Asotin,Asotin,5,GRA ACMB0 ACMA0,Asotin Creek near mouth,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.001,757,UPSTREAM ARRAY,"Four muxed antennas located near the mouth of Asotin Creek 50 m upstream of the Highway 129 bridge spanning the mainstem of Asotin Creek in two serial sets of two antennas. Campbell Scientific data logger and phone modem were installed on September 30, 2011 to upload data to ISEMP server run by Quantitative Consultants in Boise, ID.",46.341368,-117.055707,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
INT,AFC,Adult/Juvenile,No,No,ELR,Unknown,Unknown,100,SNAKE,Asotin,5,GRA ACMB0 ACMA0 ASOTIC ACB AFCB0 AFCA0,No./So. Fk Asotin Cr. Jct. ISA,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.025,781,NORTH FORK ASOTIN CREEK ARRAY,"Six muxed antennas located at the confluence of the mainstem of Asotin Creek, North Fork Asotin Creek, and South Fork Asotin Creek. Three antennas span the mainstem, two antennas span the North Fork, and one antenna spans the South Fork. The first two years of data were originally reported as Passive Recaptures. The site was officially registered as an interrogation site in PTAGIS December 2010. In December 2017, the original passive recapture records were removed and the detection records were submitted as interrogation data.",46.27248743,-117.2921472,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
INT,CCA,Adult/Juvenile,No,No,ELR,Unknown,Unknown,130,Asotin,Asotin,5,GRA ACMB0 ACMA0 ASOTIC ACB CCAB0 CCAA0,Lower Charley Creek ISA,Instream Remote Detection System,17060103,Lower Snake-Asotin,522.234.022.001,779,Upstream Antenna,"From August 2009 to April 2010, site consisted of a single antenna powered by a FS1001-ISO. In August 2010, a second antenna powered by a second cheeseblock was installed. The data collected from August 2009 - August 2011 was originally reported as Passive Recaptures. In August 2011, the site was upgraded to use a FS2001M and it was officially registered as an interrogation site in PTAGIS. In September 2017, a third antenna was added to the site. In December 2017, the original passive recapture records were removed and the detection records from that time period were submitted as interrogation data.",46.288458,-117.282497,Steve Bennett,bennett.ecological@gmail.com,(435) 757-5668,ELR,SNASO-s,Asotin Creek,Snake River Basin Steelhead DPS,Lower Snake,SNASO,Asotin Creek,Snake River Spring/Summer-run Chinook Salmon ESU,Lower Snake
INT,CRT,Adult Ladder,No,No,IDFG,IDFG,Unknown,110,SF Clearwater,SF Clearwater,13,GRA SC1 SC2B0 SC2A0,Crooked River Satellite Fac.,Hatchery Returns,17060305,South Fork Clearwater,522.224.120.094.001,961,ADULT RETURN LADDER,"This array is located in the ladder of the Crooked River Satellite Facility.  The Crooked River is a tributary to the South Fork Clearwater River.  The array consists of two overflow antennas.  The openings for the antennas are 30x48 and each antenna has a baffle to replicate the existing dam board baffle.  All fish migrating up the Crooked River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Crooked River above the weir while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin.",45.82093128,-115.5277822,Chris Sullivan,chris.sullivan@idfg.idaho.gov,208-465-8404 x241,IDFG,CRSFC-s,South Fork Clearwater River,Snake River Basin Steelhead DPS,Clearwater River,SCUMA,Upper South Fork Clearwater,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,HLM,Adult/Juvenile,No,No,IDFG,IDFG,Unknown,110,Potlatch,Potlach River,8,GRA JUL HLMB0 HLMA0,Potlatch River near Helmer,Instream Remote Detection System,17060306,Clearwater,522.224.024.066,836,Upstream Array,"This in-stream site is located near the town of Helmer, on the mainstem Potlatch River at km 66, just below the confluence of the West Fork and East Fork Potlatch rivers.",46.79900553,-116.4284118,Brett Bowersox,brett.bowersox@idfg.idaho.gov,(208) 799-5010,IDFG,CRLMA-s,Clearwater River lower mainstem,Snake River Basin Steelhead DPS,Clearwater River,CRPOT,Polatch River,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,JUL,Adult/Juvenile,No,No,IDFG,IDFG,Unknown,120,Potlatch,Potlach River,8,GRA JUL,Potlatch River near Juliaetta,Instream Remote Detection System,17060306,Clearwater,522.224.024.014,784,Floating Array,"The site is an Instream Floating Remote Detection System on the Potlatch River near Juliaetta. The site became operational 2-22-2013. The site is at rkm 14 on the Potlatch River, lat/long N 46 33 55.71, W 116 42 32.99 (Decimal Degrees 46.565475, -116.709164). It is roughly 50 meters downstream of where the flat panel array is. The site is made up of 1-8 antennas coded as ID: 01, 02, 03, 04, 05, 06, 07, 08. The antennas stretch across a suspended cable with antenna 01 starting on river right and ending at antenna 08 on river left.",46.56532348,-116.7093184,Brett Bowersox,brett.bowersox@idfg.idaho.gov,(208) 799-5010,IDFG,CRLMA-s,Clearwater River lower mainstem,Snake River Basin Steelhead DPS,Clearwater River,CRPOT,Polatch River,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,KHS,Adult/Juvenile,No,No,IDFG,IDFG,Unknown,140,Potlatch,Potlach River,8,GRA JUL KHSB0 KHSA0,Big Bear Cr. @ Kendrick HS,Instream Remote Detection System,17060306,Clearwater,522.224.024.023.000,793,Upstream Array,"This floating array interrogation system is located near the mouth of Big Bear Creek adjacent to the high school in the town of Kendrick, Idaho.  The array is set up with an upper span of Bio Float antennas (01, 02, 03, 04) and a lower span of Bio Float antennas (05, 06, 07, 08).  KHS was originally installed in 2007 with 6 pass over PVC antennas. The floating array configuration came online January 2015.",46.619115,-116.646846,Brett Bowersox,brett.bowersox@idfg.idaho.gov,(208) 799-5010,IDFG,CRLMA-s,Clearwater River lower mainstem,Snake River Basin Steelhead DPS,Clearwater River,CRPOT,Polatch River,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater
INT,LRL,Adult/Juvenile,No,No,IDFG,IDFG,Unknown,100,Clearwater,Lochsa River,15,GRA LRL,Lower Lochsa River Array Site,Instream Remote Detection System,17060303,Lochsa,522.224.120.037.001,904,Instream Array,Site is located in lower 1km of the mainstem Lochsa River.  Site is comprised of thirteen 20ft. antennas with the electronic enclosure located on river left.  The site consists of a single array of antennas and is channel spanning.  The site contains two IS1001-MC units.  The left unit controls antennas 3-11 and the right unit controls antennas 1-2.,46.145727,-115.596497,Jason Fortier,Jason.fortier@idfg.idaho.gov,(208) 799-5010,IDFG,CRLOC-s,Lochsa River,Snake River Basin Steelhead DPS,Clearwater River,CRLOC,Lochsa River,Snake River Spring/Summer-run Chinook Salmon ESU,Wet Clearwater
