"SiteID","ConfigID","AntennaID","Node","ValidNode","StartDate","EndDate","Comment","SiteType","SiteName","ModelMainBranch","AntennaGroup","ArrayOrder","SiteDescription","SiteTypeName","RKM","RKMTotal","Latitude","Longitude"
"158",100,"D1","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Upstream Eightmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"158",100,"D2","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Middle Eightmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"158",100,"D3","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Downstream Eightmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"158",100,"D4","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Upstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"158",100,"D5","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Middle Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"158",100,"D6","Below_GRA_Obs",NA,2011-11-29 00:00:00,NA,NA,"INT","Fifteenmile Ck at Eightmile Ck",NA,"Downstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.004",313,45.60642483,-121.0862801
"15D",100,"C1","Below_GRA_Obs",NA,2012-03-15 00:00:00,NA,NA,"INT","Fifteenmile Ck at Dry Ck",NA,"Upstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.038",347,45.50615826,-121.0462182
"15D",100,"C2","Below_GRA_Obs",NA,2012-03-15 00:00:00,NA,NA,"INT","Fifteenmile Ck at Dry Ck",NA,"Upstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.038",347,45.50615826,-121.0462182
"15D",100,"C3","Below_GRA_Obs",NA,2012-03-15 00:00:00,NA,NA,"INT","Fifteenmile Ck at Dry Ck",NA,"Downstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.038",347,45.50615826,-121.0462182
"15D",100,"C4","Below_GRA_Obs",NA,2012-03-15 00:00:00,NA,NA,"INT","Fifteenmile Ck at Dry Ck",NA,"Downstream Fifteenmile Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.038",347,45.50615826,-121.0462182
"15D",100,"C5","Below_GRA_Obs",NA,2012-03-15 00:00:00,NA,NA,"INT","Fifteenmile Ck at Dry Ck",NA,"Upstream Dry Ck",NA,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.","Instream Remote Detection System","309.038",347,45.50615826,-121.0462182
