"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"GRA","GRA","GRA","","","","","","","","","",""
"LTR","GRA.Below_GRA.Tucannon.LTR","GRA","Below_GRA","Tucannon","LTR","","","","","","",""
"TUCR","GRA.Below_GRA.Tucannon.LTR.TUCR","GRA","Below_GRA","Tucannon","LTR","TUCR","","","","","",""
"MTR","GRA.Below_GRA.Tucannon.LTR.MTR","GRA","Below_GRA","Tucannon","LTR","MTR","","","","","",""
"PATAHC","GRA.Below_GRA.Tucannon.LTR.MTR.PATAHC","GRA","Below_GRA","Tucannon","LTR","MTR","PATAHC","","","","",""
"UTR","GRA.Below_GRA.Tucannon.LTR.MTR.UTR","GRA","Below_GRA","Tucannon","LTR","MTR","UTR","","","","",""
"TUCH","GRA.Below_GRA.Tucannon.LTR.MTR.UTR.TUCH","GRA","Below_GRA","Tucannon","LTR","MTR","UTR","TUCH","","","",""
"TFH","GRA.Below_GRA.Tucannon.LTR.MTR.UTR.TFH","GRA","Below_GRA","Tucannon","LTR","MTR","UTR","TFH","","","",""
"CURP","GRA.Below_GRA.Tucannon.LTR.MTR.UTR.CURP","GRA","Below_GRA","Tucannon","LTR","MTR","UTR","CURP","","","",""
"PENAWC","GRA.Below_GRA.Penawawa.PENAWC","GRA","Below_GRA","Penawawa","PENAWC","","","","","","",""
"ALMOTC","GRA.Below_GRA.Almota.ALMOTC","GRA","Below_GRA","Almota","ALMOTC","","","","","","",""
"158","GRA.Below_GRA.Below_GRA_Other.158","GRA","Below_GRA","Below_GRA_Other","158","","","","","","",""
"SUN","GRA.Below_GRA.Below_GRA_Other.SUN","GRA","Below_GRA","Below_GRA_Other","SUN","","","","","","",""
"SAT","GRA.Below_GRA.Below_GRA_Other.SAT","GRA","Below_GRA","Below_GRA_Other","SAT","","","","","","",""
"15D","GRA.Below_GRA.Below_GRA_Other.15D","GRA","Below_GRA","Below_GRA_Other","15D","","","","","","",""
"15MILC","GRA.Below_GRA.Below_GRA_Other.15MILC","GRA","Below_GRA","Below_GRA_Other","15MILC","","","","","","",""
"15R","GRA.Below_GRA.Below_GRA_Other.15R","GRA","Below_GRA","Below_GRA_Other","15R","","","","","","",""
"1890SC","GRA.Below_GRA.Below_GRA_Other.1890SC","GRA","Below_GRA","Below_GRA_Other","1890SC","","","","","","",""
"18N","GRA.Below_GRA.Below_GRA_Other.18N","GRA","Below_GRA","Below_GRA_Other","18N","","","","","","",""
"21MILC","GRA.Below_GRA.Below_GRA_Other.21MILC","GRA","Below_GRA","Below_GRA_Other","21MILC","","","","","","",""
"30M","GRA.Below_GRA.Below_GRA_Other.30M","GRA","Below_GRA","Below_GRA_Other","30M","","","","","","",""
"30MILC","GRA.Below_GRA.Below_GRA_Other.30MILC","GRA","Below_GRA","Below_GRA_Other","30MILC","","","","","","",""
"30ML2C","GRA.Below_GRA.Below_GRA_Other.30ML2C","GRA","Below_GRA","Below_GRA_Other","30ML2C","","","","","","",""
