SiteID,Node
158,Below_GRA_Obs
15D,Below_GRA_Obs
15R,Below_GRA_Obs
18M,18MA0
18M,18MB0
18N,Below_GRA_Obs
30M,Below_GRA_Obs
3D1,Below_GRA_Obs
3D2,Below_GRA_Obs
3D3,Below_GRA_Obs
3D4,Below_GRA_Obs
85M,Below_GRA_Obs
AB1,Below_GRA_Obs
AB2,Below_GRA_Obs
AB3,Below_GRA_Obs
AB4,Below_GRA_Obs
ACB,ACB
ACB,ACBA0
ACB,ACBB0
ACM,ACMA0
ACM,ACMB0
AEN,Below_GRA_Obs
AFC,AFC
AGC,AGCA0
AGC,AGCB0
ANT,Below_GRA_Obs
B1J,Below_GRA_Obs
B2A,Below_GRA_Obs
B2J,Below_GRA_Obs
BBA,BBA
BBP,Below_GRA_Obs
BBT,Below_GRA_Obs
BCC,Below_GRA_Obs
BCP,Below_GRA_Obs
BDP,Below_GRA_Obs
BGM,Below_GRA_Obs
BHC,BHCA0
BHC,BHCB0
BHL,Below_GRA_Obs
BMT,Below_GRA_Obs
BO1,Below_GRA_Obs
BO2,Below_GRA_Obs
BO3,Below_GRA_Obs
BO4,Below_GRA_Obs
BPC,Below_GRA_Obs
BR0,Below_GRA_Obs
BR1,Below_GRA_Obs
BR2,Below_GRA_Obs
BR3,Below_GRA_Obs
BRC,BRC
BSC,BSCA0
BSC,BSCB0
BSH,Below_GRA_Obs
BTC,BTCA0
BTC,BTCB0
BTL,BTLA0
BTL,BTLB0
BTM,BTMA0
BTM,BTMB0
BTU,BTUA0
BTU,BTUB0
BVC,Below_GRA_Obs
BVJ,Below_GRA_Obs
BVP,Below_GRA_Obs
BVT,Below_GRA_Obs
BVX,Below_GRA_Obs
BWL,Below_GRA_Obs
CAC,CACA0
CAC,CACB0
CAL,Below_GRA_Obs
CAP,Below_GRA_Obs
CBL,Below_GRA_Obs
CBS,Below_GRA_Obs
CCA,CCA
CCA,CCAA0
CCA,CCAB0
CCC,Below_GRA_Obs
CCM,Below_GRA_Obs
CCP,AB_CCW
CCS,Below_GRA_Obs
CCT,Below_GRA_Obs
CCW,CCWA0
CCW,CCWB0
CDP,Below_GRA_Obs
CEY,AB_YNK
CFD,Below_GRA_Obs
CFF,Below_GRA_Obs
CFJ,Below_GRA_Obs
CGJ,Below_GRA_Obs
CHL,Below_GRA_Obs
CHM,Below_GRA_Obs
CHN,CHN
CHP,Below_GRA_Obs
CHS,CHS
CHU,Below_GRA_Obs
CHW,Below_GRA_Obs
CIC,Below_GRA_Obs
CJP,Below_GRA_Obs
CLC,CLC
CLE,Below_GRA_Obs
CLJ,CLEARWATER_OBS
CLP,Below_GRA_Obs
CMP,CMPA0
CMP,CMPB0
COC,COCA0
COC,COCB0
COP,Below_GRA_Obs
CR1,Below_GRA_Obs
CR2,Below_GRA_Obs
CR3,Below_GRA_Obs
CRC,CRCA0
CRC,CRCB0
CRT,AB_SC2
CRU,Below_GRA_Obs
CRW,Below_GRA_Obs
CWP,Below_GRA_Obs
CZY,CZYA0
CZY,CZYB0
DBH,Below_GRA_Obs
DBO,Below_GRA_Obs
DRM,Below_GRA_Obs
DRP,Below_GRA_Obs
DSF,Below_GRA_Obs
DWL,CLEARWATER_OBS
DXP,Below_GRA_Obs
EBO,Below_GRA_Obs
ECH,Below_GRA_Obs
ECL,Below_GRA_Obs
EFD,Below_GRA_Obs
EHL,Below_GRA_Obs
EMC,Below_GRA_Obs
ENA,Below_GRA_Obs
ENF,Below_GRA_Obs
ENL,Below_GRA_Obs
ENM,Below_GRA_Obs
ENS,Below_GRA_Obs
ESJ,Below_GRA_Obs
ESS,ESSA0
ESS,ESSB0
ESX,Below_GRA_Obs
EWC,Below_GRA_Obs
FDC,Below_GRA_Obs
FDD,Below_GRA_Obs
FOL,Below_GRA_Obs
FOS,Below_GRA_Obs
FST,Below_GRA_Obs
GL2,Below_GRA_Obs
GLC,Below_GRA_Obs
GOA,Below_GRA_Obs
GOJ,Below_GRA_Obs
GRA,GRA
GRJ,Below_GRA_Obs
GRP,GRP
GRX,Below_GRA_Obs
GWP,Below_GRA_Obs
HEC,HECA0
HEC,HECB0
HLM,HLMA0
HLM,HLMB0
HLX,Below_GRA_Obs
HN1,Below_GRA_Obs
HN2,Below_GRA_Obs
HN3,Below_GRA_Obs
HRM,Below_GRA_Obs
HS1,Below_GRA_Obs
HS2,Below_GRA_Obs
HSL,Below_GRA_Obs
HSM,Below_GRA_Obs
HST,Below_GRA_Obs
HSU,Below_GRA_Obs
HYC,HYC
HYC,HYCA0
HYC,HYCB0
ICH,Below_GRA_Obs
ICL,Below_GRA_Obs
ICM,Below_GRA_Obs
ICU,Below_GRA_Obs
IHA,Below_GRA_Obs
IMJ,SNAKE_OBS
IML,IML_C0
IML,IML_B0
IML,IML_A0
IR1,IR1
IR2,IR2
