"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"1","3D9.1C2D49208F",2017-07-06 19:34:19,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IR2, IR3B0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IMLB0, IMLA0","BO2(O),BO4(O),TD1(O),JDALD2(R),MC2(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),GRA(O),IR1(O),IR2(O),IR3(O),IR4(O),IR4(O),IR4(O),IR4(O),IML(O)","IML","7/6/2017 19:34:19","IR4"
"2","3DD.0077468EC0",2017-07-08 01:25:55,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0, CCWA0, CCWB0","BO3(O),BO4(O),TD1(O),JDALD2(R),MC1(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),GRA(O),UGR(O),CCW(O)","CCW","7/8/2017 2:53:19","UGR"
"3","3DD.007766C222",2017-07-07 14:48:02,11,"ImnahaRiver","IML","IMLA0","GRA, IR1, IR2, IR3B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IMLB0, IMLA0","BO2(O),BO4(O),TD1(O),JDALD1(R),MC1(O),ICH(O),LMA(O),GOA(O),LGRLDR(R),GRA(O),IR1(O),IR2(O),IR3(O),IR4(O),IR4(O),IR4(O),IML(O)","IML","7/7/2017 14:48:02","IR4"
"4","3DD.0077ADD3D8",2017-08-21 19:56:20,21,"SFSalmon","STR","STR","GRA, SFG, STR","GRA(O),SFG(O),STR(O),KNOXB(R)","KNOXB","8/21/2017 22:00:00","KNOXB"
"5","3DD.0077ADE5DB",2017-07-07 22:49:28,15,"Lochsa","LRL","LRL","GRA, LRL","GRA(O),LRL(O),POWP(M)","POWP","8/24/2017 22:00:00","POWP"
"6","3DD.0077ADED15",2017-07-07 11:24:51,21,"SFSalmon","ZEN","ZENA0","GRA, ZENB0, ZENA0","GRA(O),ZEN(O),GROUSC(M)","GROUSC","8/28/2017 10:00:00","GROUSC"
"7","3DD.0077ADF760",2017-08-23 17:29:44,26,"UpperSalmon","STL","STL","GRA, STL","GRA(O),STL(O),STL(O),SAWT(R)","SAWT","8/27/2017 22:00:00","SAWT"
"8","3DD.0077AE1948",2017-09-02 21:21:44,26,"UpperSalmon","VC1","VC1","GRA, VC2, VC1, VC2, STL, VC2, VC1","GRA(O),VC2(O),VC1(O),VC1(O),VC2(O),STL(O),VC2(O),VC2(O),VC2(O),VC1(O)","VC1","9/11/2017 17:19:36","STL"
"9","3DD.0077AE6BA9",2017-06-29 04:37:05,15,"Lochsa","LRL","LRL","GRA, LRL","GRA(O),LRL(O),POWP(M)","POWP","9/4/2017 22:00:00","POWP"
"10","3DD.0077AE7D13",2017-07-10 00:23:29,25,"Lemhi","LLR","LLRA0","GRA, LLRA0","GRA(O),LLR(O),HAYDNC(M)","HAYDNC","9/12/2017 2:28:00","HAYDNC"
"11","3DD.0077AE8AFA",2017-08-19 17:09:31,11,"ImnahaRiver","IR5","IR5A0","GRA, IR1, IR2, IR3B0, IR4A0, IR5B0, IR5A0, IR5B0, IR4B0, IR4A0","GRA(O),LGRLDR(R),GRA(O),IR1(O),IR2(O),IR3(O),IR4(O),IR5(O),IR5(O),IR4(O),IR4(O),IMNAHR(M)","IMNAHR","8/31/2017 9:00:00","IR4"
"12","3DD.0077AE8AFA",2017-08-19 17:09:31,11,"ImnahaRiver","IR5","IR5A0","GRA, IR1, IR2, IR3B0, IR4A0, IR5B0, IR5A0, IR5B0, IR4B0, IR4A0","GRA(O),LGRLDR(R),GRA(O),IR1(O),IR2(O),IR3(O),IR4(O),IR5(O),IR5(O),IR4(O),IR4(O),IMNAHR(M)","IMNAHR","8/31/2017 9:00:00","IR4"
"13","3DD.0077AEB45C",2017-07-11 04:08:43,21,"SFSalmon","STR","STR","GRA, KRS, STR","GRA(O),KRS(O),KNOXB(M),STR(O)","STR","7/11/2017 5:02:40","KNOXB"
"14","3DD.0077AECCAC",2017-08-25 05:55:36,11,"ImnahaRiver","IR5","IR5A0","GRA, IR1, IR2, IR4B0, IR4A0, IR5B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR5A0, IR5B0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR5B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR4B0, IR4A0, IR4B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR5B0, IR4B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR5B0, IR5A0, IR4A0, IR4B0, IR4A0, IR4B0, IR5B0, IR5A0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR5B0, IR4A0, IR4B0, IR4A0, IR5B0, IR5A0, IR4B0","GRA(O),IR1(O),IR2(O),IR4(O),IR5(O),IR5(O),IR4(O),IR5(O),IR4(O),IR4(O),IR5(O),IR5(O),IR4(O),IR5(O),IR4(O),IR5(O),IR4(O),IR5(O),IR4(O)","IR4","9/3/2017 22:55:09","IR4"
"15","3DD.0077B5D6C5",2017-07-13 22:00:00,26,"UpperSalmon","SAWT","STL","GRA, STL","GRA(O),SAWT(M),STL(O)","STL","7/14/2017 6:12:36","STL"
"16","3DD.0077B5DEB5",2017-08-01 23:19:56,21,"SFSalmon","STR","STR","GRA, SFG, KRS, STR","GRA(O),SFG(O),KRS(O),STR(O),STR(O),KNOXB(R)","KNOXB","8/2/2017 22:00:00","KNOXB"
"17","3DD.0077B5E693",2017-08-13 21:42:28,14,"ClearCreek","CLC","CLC","GRA, CLC, LRL, CLC","GRA(O),GRA(O),CLC(O),CLC(O),LRL(O),CLC(O)","CLC","8/27/2017 22:46:27","LRL"
"18","3DD.0077B5E7CD",2017-08-15 19:26:06,21,"SFSalmon","STR","STR","GRA, KRS, STR","GRA(O),KRS(O),STR(O),KNOXB(M)","KNOXB","8/21/2017 22:00:00","KNOXB"
"19","3DD.0077B6017A",2017-08-20 17:18:17,26,"UpperSalmon","STL","STL","GRA, USE, STL","GRA(O),USE(O),STL(O),STL(O),SAWT(R)","SAWT","8/21/2017 22:00:00","SAWT"
"20","3DD.0077B63CAD",2017-07-12 06:32:23,26,"UpperSalmon","STL","STL","GRA, STL","GRA(O),GRA(O),STL(O),ALTULC(M)","ALTULC","9/4/2017 10:45:00","ALTULC"
"21","3DD.0077B6405B",2017-07-17 03:57:23,21,"SFSalmon","STR","STR","GRA, KRS, STR","GRA(O),KRS(O),KNOXB(M),STR(O)","STR","7/17/2017 4:37:44","KNOXB"
"22","3DD.0077B6586D",2017-07-13 14:25:28,21,"SFSalmon","STR","STR","GRA, SFG, KRS, STR","GRA(O),SFG(O),KRS(O),STR(O),KNOXB(M)","KNOXB","7/13/2017 22:00:00","KNOXB"
"23","3DD.0077B69E8D",2017-06-30 20:11:22,15,"Lochsa","LRL","LRL","GRA, LRL","GRA(O),LRL(O),POWP(M)","POWP","9/2/2017 22:00:00","POWP"
"24","3DD.0077B6AC40",2017-07-10 13:31:51,21,"SFSalmon","STR","STR","GRA, SFG, KRS, STR","GRA(O),SFG(O),KRS(O),STR(O),KNOXB(M)","KNOXB","7/10/2017 22:00:00","KNOXB"
"25","3DD.0077B745E9",2017-07-17 00:28:19,21,"SFSalmon","STR","STR","GRA, KRS, STR","GRA(O),GRA(O),KRS(O),KNOXB(M),STR(O)","STR","7/17/2017 0:41:55","KNOXB"
"26","3DD.0077B83369",2017-07-04 00:24:19,15,"Lochsa","LRL","LRL","GRA, LRL","GRA(O),LRL(O),POWP(M)","POWP","7/11/2017 22:00:00","POWP"
"27","3DD.0077B883A0",2017-06-30 23:56:17,18,"Wallowa","WR1","WR1","GRA, WR1","GRA(O),WR1(O),MINAMR(M)","MINAMR","8/22/2017 9:00:00","MINAMR"
"28","3DD.0077B8DEC8",2017-08-04 15:44:18,26,"UpperSalmon","STL","STL","GRA, USE, STL","GRA(O),USE(O),STL(O),SAWT(R),SALR4(M)","SALR4","9/6/2017 0:00:00","SAWT"
