"","TagID","LastObs","BranchNum","Group","AssignSpawnSite","AssignSpawnNode","TagPath","PtagisEventSites","PtagisLastEventSite","PtagisLastEventDate","PtagisEventLastSpawnSite"
"1","384.3B239A405E",2016-04-05 06:28:37,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWB0, CCWA0, UGR","CATHEC(R),CATHEC(R),BO1(O),TD1(O),MC2(O),ICH(O),ICH(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),UGR(O),CCW(O),CCW(O),UGR(O)","UGR","5/8/2016 4:17:55","UGR"
"2","384.3B23A25091",2016-04-11 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","BO3(O),BO4(O),TD1(O),MC1(O),ICH(O),LMA(O),LMA(O),GOA(O),GRA(O),LGRLDR(R),GRA(O),GRA(O),JOC(O),JOSEPC(R)","JOSEPC","4/11/2016 7:00:00","JOC"
"3","384.3B23ABA88A",2016-03-16 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/16/2016 18:41:44","JOC"
"4","384.3B23ABC30C",2016-04-26 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/26/2016 19:29:10","JOC"
"5","384.3B23ABDCBB",2016-03-22 04:16:48,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWA0","GRA(O),UGR(O),CATHEC(R),CCW(O)","CCW","3/22/2016 4:27:34","CATHEC"
"6","384.3B23AC06AE",2016-02-13 08:00:00,5,"Asotin","ASOTIC","ASOTIC","GRA, ACMA0, ASOTIC","GRA(O),ACM(O),ASOTIC(R)","ASOTIC","2/13/2016 8:00:00","ACM"
"7","384.3B23ACD3DA",2016-04-12 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","4/12/2016 7:00:00","JOC"
"8","384.3B23ACD5BF",2016-04-10 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/10/2016 14:11:33","JOC"
"9","384.3B23ACD5CE",2016-03-14 18:19:10,1,"Tucannon","LTR","LTR","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, LTR","GRA(O),JOC(O),LTR(O)","LTR","3/14/2016 18:19:10","JOC"
"10","384.3B23ACD6E0",2016-03-31 08:30:00,5,"Asotin","ASOTIC","ASOTIC","GRA, ACMA0, ASOTIC","GRA(O),ACM(O),ASOTIC(R),ASOTIC(R)","ASOTIC","4/4/2016 8:45:00","ACM"
"11","384.3B23ACD787",2016-04-20 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","4/20/2016 7:00:00","JOC"
"12","384.3B23ACD7C7",2016-03-01 08:21:00,17,"LookingGlass","LOOKGC","LOOKGC","GRA, LOOKGC","GRA(O),LOOKGC(R),LOOH(R)","LOOH","5/26/2016 15:07:00","LOOH"
"13","384.3B23ACD7D1",2016-03-12 12:15:08,19,"GrandeRonde","CCW","CCWB0","GRA, UGR, CCWB0","GRA(O),UGR(O),CATHEC(R),CCW(O)","CCW","3/12/2016 12:15:08","CATHEC"
"14","384.3B23ACD8B8",2016-03-11 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/11/2016 18:45:45","JOC"
"15","384.3B23ACD8DF",2016-03-07 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","3/7/2016 8:00:00","JOC"
"16","384.3B23ACD914",2015-10-06 20:27:17,26,"UpperSalmon","USI","USI","GRA, USI","GRA(O),USI(O),SALREF(R)","SALREF","3/30/2016 12:00:00","SALREF"
"17","384.3B23ACD953",2016-04-15 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/15/2016 19:17:55","JOC"
"18","384.3B23ACDB33",2016-04-12 14:34:18,5,"Asotin","CCA","CCAA0","GRA, ASOTIC, ACB, AFCA0, AFCB0, CCAB0, CCAA0, ASOTIC","GRA(O),ASOTIC(R),ACB(O),AFC(O),AFC(O),AFC(O),CCA(O),ASOTIC(R)","ASOTIC","4/25/2016 9:00:00","AFC"
"19","384.3B23ACDC34",2016-04-09 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/9/2016 18:31:42","JOC"
"20","384.3B23ACDE6E",2016-04-04 13:38:58,19,"GrandeRonde","CCW","CCWA0","GRA, CCWA0","GRA(O),CATHEC(R),CCW(O)","CCW","4/4/2016 13:38:58","CATHEC"
"21","384.3B23ACDF52",2016-04-03 04:21:38,26,"UpperSalmon","USE","USE","GRA, USE","GRA(O),SALREF(R),USE(O)","USE","4/3/2016 4:21:38","SALREF"
"22","384.3B23ACDF82",2016-04-23 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/23/2016 19:28:42","JOC"
"23","384.3B23ACE18F",2016-04-14 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/14/2016 22:25:54","JOC"
"24","384.3B23ACE19D",2016-04-03 22:17:43,19,"GrandeRonde","CCW","CCWA0","GRA, CCWA0","GRA(O),CATHEC(R),CCW(O)","CCW","4/3/2016 22:17:43","CATHEC"
"25","384.3B23ACE484",2016-04-01 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOSEPC(M),JOC(O)","JOC","4/1/2016 8:35:47","JOC"
"26","384.3B23ACE4A8",2016-04-23 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/23/2016 19:01:12","JOC"
"27","384.3B23ACE4DC",2016-04-24 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOC(O),JOSEPC(R)","JOSEPC","4/24/2016 7:00:00","JOC"
"28","384.3B23ACE518",2016-04-28 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/28/2016 19:41:32","JOC"
"29","384.3B23ACE545",2016-02-15 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOCB0, JOCA0, JOSEPC, JOCA0","GRA(O),JOC(O),JOC(O),JOC(O),JOSEPC(R),JOSEPC(R),JOC(O)","JOC","3/31/2016 18:41:39","JOC"
"30","384.3B23ACE716",2016-03-06 16:29:29,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWB0, CCWA0","GRA(O),UGR(O),CATHEC(R),CCW(O)","CCW","3/6/2016 16:29:29","CATHEC"
"31","384.3B23ACE71E",2016-02-21 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC","GRA(O),JOC(O),JOSEPC(R),JOSEPC(R)","JOSEPC","3/23/2016 7:00:00","JOC"
"32","384.3B23ACE720",2016-04-09 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOSEPC, JOCA0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/9/2016 19:43:26","JOC"
"33","384.3B23ACE766",2016-03-05 23:48:03,19,"GrandeRonde","CCW","CCWA0","GRA, UGR, CCWA0","GRA(O),UGR(O),CATHEC(R),CCW(O),CCW(O)","CCW","3/6/2016 10:39:09","CATHEC"
"34","384.3B23ACE858",2016-03-19 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","3/19/2016 19:14:54","JOC"
"35","384.3B23ACE8FF",2016-03-06 08:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOSEPC, JOCB0, JOCA0, JOSEPC","GRA(O),JOSEPC(R),JOC(O),JOSEPC(M)","JOSEPC","4/19/2016 7:00:00","JOC"
"36","384.3B23ACE9BE",2016-04-21 07:00:00,9,"JosephCreek","JOSEPC","JOSEPC","GRA, JOCB0, JOCA0, JOSEPC, JOCA0, JOCB0","GRA(O),JOC(O),JOSEPC(R),JOC(O)","JOC","4/21/2016 13:36:58","JOC"
